train_loss,train_triplet_loss,train_crossentropy_loss,train_center_loss,val_loss,val_triplet_loss,learning_rate
10.7231,2.1705,3.8229,4.7298,1.5472,1.5472,0.0005
7.1443,1.5145,2.6768,2.9529,1.1474,1.1474,0.0005
6.2521,1.2356,1.7382,3.2784,1.2153,1.2153,0.0005
5.1477,1.1139,1.1276,2.9063,1.2414,1.2414,0.0005
5.0236,0.9329,0.6944,3.3964,0.9339,0.9339,0.0005
4.6594,0.8432,0.4946,3.3217,1.0581,1.0581,0.0005
4.5255,0.7136,0.2855,3.5264,1.0118,1.0118,0.0005
4.2913,0.6393,0.1698,3.4822,0.9431,0.9431,0.0005
4.6285,0.5742,0.1308,3.9235,0.9779,0.9779,0.0005
3.0844,0.5118,0.1037,2.4689,0.7608,0.7608,0.0005
4.2166,0.4893,0.0896,3.6377,0.7233,0.7233,0.0005
5.3652,0.5057,0.0742,4.7853,0.8192,0.8192,0.0005
4.4609,0.4525,0.0587,3.9498,0.9266,0.9266,0.0005
3.5965,0.4266,0.0463,3.1237,1.1995,1.1995,0.0005
3.4830,0.3563,0.0310,3.0957,0.9615,0.9615,0.0005
4.2244,0.3691,0.0336,3.8217,0.7609,0.7609,0.0005
3.2038,0.2363,0.0140,2.9535,0.5837,0.5837,0.00005
3.5340,0.2003,0.0167,3.3170,0.8685,0.8685,0.00005
3.9593,0.1786,0.0054,3.7753,0.9577,0.9577,0.00005
2.7562,0.1652,0.0039,2.5870,0.9280,0.9280,0.00005